Unnamed: 0,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
1803,TECHNIQUE,AUTRE
1804,PRIX,TECHNIQUE
1812,TECHNIQUE,AUTRE
1813,PRIX,TECHNIQUE
1814,TECHNIQUE,PRIX
1829,TECHNIQUE,PRIX
1834,PRIX,QUALITE
1841,PRIX,TECHNIQUE
1846,PRIX,AUTRE
1850,TECHNIQUE,PRIX
1854,TECHNIQUE,PRIX
1860,PRIX,TECHNIQUE
1864,PRIX,TECHNIQUE
1866,TECHNIQUE,PRIX
1868,PRIX,TECHNIQUE
1870,PRIX,TECHNIQUE
1871,PRIX,TECHNIQUE
1872,TECHNIQUE,PRIX
1874,TECHNIQUE,PRIX
1880,TECHNIQUE,PRIX
1882,TECHNIQUE,TECHNIQUE
1883,PRIX,TECHNIQUE
1886,PRIX,TECHNIQUE
1887,TECHNIQUE,PRIX
1891,TECHNIQUE,PRIX
1892,TECHNIQUE,PRIX
1895,PRIX,TECHNIQUE
1897,PRIX,AUTRE
1907,TECHNIQUE,PRIX
1919,AUTRE,AUTRE
1920,PRIX,AUTRE
1922,PRIX,QUALITE
1932,TECHNIQUE,QUALITE
1934,TECHNIQUE,PRIX
1942,TECHNIQUE,PRIX
1952,TECHNIQUE,AUTRE
1954,PRIX,TECHNIQUE
1958,PRIX,TECHNIQUE
1959,PRIX,TECHNIQUE
1961,TECHNIQUE,PRIX
1962,QUALITE,PRIX
1972,TECHNIQUE,PRIX
1973,TECHNIQUE,PRIX
1974,TECHNIQUE,PRIX
1975,PRIX,TECHNIQUE
1978,PRIX,TECHNIQUE
1980,TECHNIQUE,TECHNIQUE
1982,TECHNIQUE,PRIX
1983,TECHNIQUE,PRIX
1985,TECHNIQUE,PRIX
1987,TECHNIQUE,PRIX
1989,PRIX,QUALITE
1992,TECHNIQUE,PRIX
1993,TECHNIQUE,PRIX
2000,TECHNIQUE,PRIX
2001,TECHNIQUE,PRIX
2002,TECHNIQUE,QUALITE
2011,PRIX,QUALITE
2021,TECHNIQUE,QUALITE
2031,AUTRE,QUALITE
2032,TECHNIQUE,PRIX
2040,PRIX,TECHNIQUE
2046,TECHNIQUE,PRIX
2048,TECHNIQUE,PRIX
2049,PRIX,TECHNIQUE
2053,TECHNIQUE,PRIX
2061,PRIX,TECHNIQUE
2063,PRIX,QUALITE
2071,TECHNIQUE,PRIX
2073,PRIX,TECHNIQUE
2075,PRIX,TECHNIQUE
2079,TECHNIQUE,PRIX
2080,TECHNIQUE,PRIX
2083,PRIX,TECHNIQUE
2084,PRIX,TECHNIQUE
2085,PRIX,TECHNIQUE
2088,TECHNIQUE,AUTRE
2089,TECHNIQUE,TECHNIQUE
2100,PRIX,AUTRE
2103,TECHNIQUE,PRIX
2108,PRIX,TECHNIQUE
2112,TECHNIQUE,PRIX
2123,PRIX,TECHNIQUE
2126,PRIX,TECHNIQUE
2132,TECHNIQUE,PRIX
2134,PRIX,TECHNIQUE
2145,PRIX,TECHNIQUE
2146,PRIX,TECHNIQUE
2149,TECHNIQUE,PRIX
2155,PRIX,QUALITE
2156,TECHNIQUE,QUALITE
2165,PRIX,QUALITE
2166,TECHNIQUE,PRIX
2167,TECHNIQUE,QUALITE
2171,PRIX,AUTRE
2176,TECHNIQUE,PRIX
2180,PRIX,TECHNIQUE
2187,PRIX,TECHNIQUE
2190,PRIX,TECHNIQUE
2196,PRIX,TECHNIQUE
2198,QUALITE,QUALITE
